[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/index | INFO: Run SaveConfig Behavior [ RunTime:0.000410s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_end ] --END-- [ RunTime:0.000439s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run XSS Behavior [ RunTime:0.000405s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ app_init ] --END-- [ RunTime:0.000505s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run CheckRoute Behavior [ RunTime:0.000580s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000609s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000452s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000480s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ view_template ] --START--
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run LocationTemplate Behavior [ RunTime:0.000482s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000522s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ view_parse ] --START--
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run ParseTemplate Behavior [ RunTime:0.011931s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011980s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ view_filter ] --START--
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run ContentReplace Behavior [ RunTime:0.000402s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run TokenBuild Behavior [ RunTime:0.000372s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000343s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run ShowRuntime Behavior [ RunTime:0.000402s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001611s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ view_end ] --START--
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000578s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000603s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Run SaveConfig Behavior [ RunTime:0.000323s ]
[ 2017-04-05T00:51:29+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491324689642642 | INFO: Tag[ app_end ] --END-- [ RunTime:0.000350s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run XSS Behavior [ RunTime:0.000613s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_init ] --END-- [ RunTime:0.000756s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run CheckRoute Behavior [ RunTime:0.000770s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ route_check ] --END-- [ RunTime:0.000810s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000580s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000614s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run SaveConfig Behavior [ RunTime:0.000358s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_end ] --END-- [ RunTime:0.000405s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run XSS Behavior [ RunTime:0.000397s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_init ] --END-- [ RunTime:0.000488s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run CheckRoute Behavior [ RunTime:0.000570s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ route_check ] --END-- [ RunTime:0.000597s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000436s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000463s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run SaveConfig Behavior [ RunTime:0.000322s ]
[ 2017-04-05T00:51:30+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_end ] --END-- [ RunTime:0.000358s ]
