[ 2017-04-12T11:40:53+08:00 ] /Install/ | INFO: Tag[ app_init ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000415s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | INFO: Tag[ app_begin ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000282s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000311s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | INFO: Tag[ view_template ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | INFO: Run LocationTemplate Behavior [ RunTime:0.000186s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000225s ]
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | INFO: Tag[ view_parse ] --START--
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 208 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 208 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-04-12T11:40:53+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491968353621621 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
